NET_NAME_SORT,NET_NAME,NET_STATUS,NET_CAPACITANCE,NET_ETCH_LENGTH,NET_ETCH_WIDTH_AVERAGE,NET_IMPEDANCE_AVERAGE,NET_IMPEDANCE_MAXIMUM,NET_IMPEDANCE_MINIMUM,NET_INDUCTANCE,NET_MANHATTAN_LENGTH,NET_MANHATTEN_LENGTH,NET_PATH_LENGTH,NET_PROPAGATION_DELAY,NET_RESISTANCE,NET_VIA_COUNT,NET_BUS_NAME,NET_PHYSICAL_TYPE,NET_PROPAGATION_DELAY,NET_DIFFERENTIAL_PAIR,NET_DRIVER_TERM_VAL,NET_ECL,NET_ECL_TEMP,NET_FIXED,NET_LOAD_TERM_VAL,NET_RELATIVE_PROPAGATION_DELAY,NET_MAX_BVIA_STAGGER,NET_MAX_FINAL_SETTLE,NET_MAX_OVERSHOOT,NET_MAX_PARALLEL,NET_MAX_VIA_COUNT,NET_MIN_BVIA_GAP,NET_MIN_BVIA_STAGGER,NET_MIN_LINE_WIDTH,NET_MIN_NOISE_MARGIN,NET_NET_PHYSICAL_TYPE,NET_NET_SPACING_TYPE,NET_NO_GLOSS,NET_NO_PIN_ESCAPE,NET_NO_RAT,NET_NO_RIPUP,NET_NO_ROUTE,NET_NO_TEST,NET_PROBE_NUMBER,NET_RATSNEST_SCHEDULE,NET_ROUTE_PRIORITY,NET_ROUTE_TO_SHAPE,NET_SAME_NET,NET_SPACING_TYPE,NET_STUB_LENGTH,NET_TS_ALLOWED,NET_VIA_LIST,NET_VOLTAGE,NET_WEIGHT,
W_R,W_R,REGULAR,15.33 pF,7964.05,5.00,81.14 ohms,81.14 ohms,81.14 ohms,101.10 nH,6815.00,6815.00,7964.05,,584535290240922530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00 mohms,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEL,WEL,REGULAR,4.96 pF,2691.62,5.00,81.14 ohms,81.14 ohms,81.14 ohms,32.70 nH,2677.00,2677.00,2691.62,,296.38 mohms,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNNAMED_1_OSC_I31_B,UNNAMED_1_OSC_I31_B,REGULAR,0.48 pF,181.48,5.00,81.14 ohms,81.14 ohms,81.14 ohms,3.21 nH,160.00,160.00,181.48,,19.98 mohms,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROMOEL,ROMOEL,REGULAR,5.83 pF,2906.30,5.00,81.14 ohms,81.14 ohms,81.14 ohms,38.45 nH,2991.00,2991.00,2906.30,,320.02 mohms,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESETL,RESETL,REGULAR,0.58 pF,322.37,5.00,81.14 ohms,81.14 ohms,81.14 ohms,3.79 nH,275.00,275.00,322.37,,35.50 mohms,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESET,RESET,REGULAR,11.42 pF,5952.53,5.00,81.14 ohms,81.14 ohms,81.14 ohms,75.32 nH,5887.50,5887.50,5952.53,,655.46 mohms,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REF,REF,REGULAR,5.72 pF,2759.61,5.00,81.14 ohms,81.14 ohms,81.14 ohms,37.80 nH,2848.50,2848.50,2759.61,,303.87 mohms,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDYL,RDYL,REGULAR,7.22 pF,3777.73,5.00,81.14 ohms,81.14 ohms,81.14 ohms,47.61 nH,3763.00,3763.00,3777.73,,415.98 mohms,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RASL,RASL,REGULAR,5.30 pF,2878.35,5.00,81.14 ohms,81.14 ohms,81.14 ohms,34.90 nH,2933.00,2933.00,2878.35,,316.95 mohms,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA 00000009,RA9,REGULAR,2.00 pF,1120.61,5.00,81.14 ohms,81.14 ohms,81.14 ohms,13.17 nH,1155.00,1155.00,1120.61,,123.39 mohms,0,@PROJECT1_LIB.ESDESIGN(S_UPREV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA 00000008,RA8,REGULAR,0.89 pF,497.13,5.00,81.14 ohms,81.14 ohms,81.14 ohms,5.84 nH,585.00,585.00,497.13,,54.74 mohms,0,@PROJECT1_LIB.ESDESIGN(S_UPREV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
