CLASS,SUBCLASS,RECORD_TAG,GRAPHIC_DATA_NAME,GRAPHIC_DATA_NUMBER,GRAPHIC_DATA_1,GRAPHIC_DATA_2,GRAPHIC_DATA_3,GRAPHIC_DATA_4,GRAPHIC_DATA_5,GRAPHIC_DATA_6,GRAPHIC_DATA_7,GRAPHIC_DATA_8,GRAPHIC_DATA_9,GRAPHIC_DATA_10,PIN_NUMBER,PAD_STACK_NAME,PAD_SHAPE_NAME,PAD_TYPE,PAD_FLASH,DRILL_HOLE_X,DRILL_HOLE_Y,NET_NAME,PIN_X,PIN_Y,VIA_X,VIA_Y,
ETCH,TOP,3 1,LINE,257,1008.00,1358.00,1075.00,1425.00,5.00,,,,,CONNECT,,,,,,,,W_R,,,,,
ETCH,TOP,3 2,LINE,257,1075.00,1425.00,1250.00,1425.00,5.00,,,,,CONNECT,,,,,,,,W_R,,,,,
ETCH,TOP,3 3,LINE,257,1250.00,1425.00,1392.00,1567.00,5.00,,,,,CONNECT,,,,,,,,W_R,,,,,
ETCH,TOP,3 4,LINE,257,1392.00,1567.00,1392.00,1807.01,5.00,,,,,CONNECT,,,,,,,,W_R,,,,,
ETCH,TOP,3 5,LINE,257,1392.00,1807.01,1426.49,1841.50,5.00,,,,,CONNECT,,,,,,,,W_R,,,,,
ETCH,TOP,3 6,LINE,257,1426.49,1841.50,1476.49,1841.50,5.00,,,,,CONNECT,,,,,,,,W_R,,,,,
ETCH,TOP,3 7,LINE,257,1476.49,1841.50,1526.49,1891.50,5.00,,,,,CONNECT,,,,,,,,W_R,,,,,
ETCH,TOP,3 8,LINE,257,1526.49,1891.50,1526.49,2094.01,5.00,,,,,CONNECT,,,,,,,,W_R,,,,,
ETCH,TOP,3 9,LINE,257,1526.49,2094.01,1546.49,2114.01,5.00,,,,,CONNECT,,,,,,,,W_R,,,,,
ETCH,TOP,3 10,LINE,257,1546.49,2114.01,1631.01,2114.01,5.00,,,,,CONNECT,,,,,,,,W_R,,,,,
ETCH,TOP,3 11,LINE,257,1631.01,2114.01,1642.49,2125.49,5.00,,,,,CONNECT,,,,,,,,W_R,,,,,
ETCH,TOP,3 12,LINE,257,1642.49,2125.49,1642.49,2234.99,5.00,,,,,CONNECT,,,,,,,,W_R,,,,,
ETCH,TOP,3 13,LINE,257,1642.49,2234.99,1657.50,2250.00,5.00,,,,,CONNECT,,,,,,,,W_R,,,,,
ETCH,TOP,3 14,LINE,257,1657.50,2250.00,1697.00,2250.00,5.00,,,,,CONNECT,,,,,,,,W_R,,,,,
VIA CLASS,SOLDERMASK_TOP,4 1,CIRCLE,2,1008.00,1308.00,44.00,44.00,,,,,,,,VIA,CIRCLE,REGULAR,,1008.00,1308.00,W_R,,,1008.00,1308.00,
VIA CLASS,SOLDERMASK_BOTTOM,5 1,CIRCLE,2,1008.00,1308.00,44.00,44.00,,,,,,,,VIA,CIRCLE,REGULAR,,1008.00,1308.00,W_R,,,1008.00,1308.00,
VIA CLASS,TOP,6 1,CIRCLE,2,1008.00,1308.00,24.00,24.00,,,,,,,,VIA,CIRCLE,REGULAR,,1008.00,1308.00,W_R,,,1008.00,1308.00,
VIA CLASS,GND,7 1,CIRCLE,2,1008.00,1308.00,44.00,44.00,,,,,,,,VIA,CIRCLE,ANTI,,1008.00,1308.00,W_R,,,1008.00,1308.00,
